1,KABUL,KABUL,AFGHANISTAN
2,ANCHORAGE INTL,ANCHORAGE INTL,ALASKA
3,ANCHORAGE ELMENDORF,ELMENDORF,ALASKA
4,COLD BAY,COLD BAY,ALASKA
5,FAIRBANKS,FAIRBANKS INTL,ALASKA
6,SHEYMA,SHEYMA,ALASKA
7,TIRANA,RINAS,ALBANIA
8,ADRAR,TOUAT,ALGERIA
9,ALGIERS,HOUARI BOUMEDIENNE,ALGERIA
10,ANNABA,EL MELLAH,ALGERIA
11,CONSTANTINE,AIN-EL-BEY,ALGERIA
12,EL GOLEA,EL GOLEA,ALGERIA
13,GHARDAIA,GHARDAIA,ALGERIA
14,HASSI MESSAOUD,OUED IRARA,ALGERIA
15,IN SALAH,IN SALAH,ALGERIA
16,ORAN,ES SENIA,ALGERIA
17,TAMANRASSET,TAMANRASSET,ALGERIA
18,ZARAZAITINE,IN AMENAS,ALGERIA
19,LUANDA,LUANDA,ANGOLA
20,BUENOS AIRES,EZEIZA,ARGENTINA
21,COMODORO RIVADAVIA,COMODORO RIVADAVIA,ARGENTINA
22,CORDOBA,CORDOBA,ARGENTINA
23,MAR DE PLATA,MAR DE PLATA,ARGENTINA
24,ASCENSION,WIDEAWAKE,ASCENSION IS.
25,ADELAIDE,ADELAIDE INTL.,AUSTRALIA
26,ALICE SPRINGS,ALICE SPRINGS,AUSTRALIA
27,AVALON,AVALON,AUSTRALIA
28,BRISBANE,BRISBANE,AUSTRALIA
29,CAIRNS,CAIRNS,AUSTRALIA
30,CANBERRA,CANBERRA,AUSTRALIA
31,COOLANGATTA,COOLANGATTA,AUSTRALIA
32,DARWIN,DARWIN INTL.,AUSTRALIA
33,KARRATHA,DAMPIER,AUSTRALIA
34,KATHERINE,TINDAL,AUSTRALIA
35,MEEKATHARRA,MEEKATHARRA,AUSTRALIA
36,MELBOURNE,MELBOURNE INTL.,AUSTRALIA
37,MOUNT ISA,MOUNT ISA,AUSTRALIA
38,NORFOLK ISLAND,NORFOLK ISLAND,AUSTRALIA
39,PEARCE,PEARCE,AUSTRALIA
40,PERTH,PERTH INTL.,AUSTRALIA
41,PORT HEDLAND,PORT HEDLAND,AUSTRALIA
42,ROCKHAMPTON,ROCKHAMPTON,AUSTRALIA
43,SYDNEY,KINGFORD SMITH,AUSTRALIA
44,TOWNSVILLE,TOWNSVILLE,AUSTRALIA
45,INNSBRUCK,INNSBRUCK,AUSTRIA
46,KLAGENFURT,KLAGENFURT,AUSTRIA
47,LINZ,LINZ,AUSTRIA
48,SALZBURG,SALZBURG,AUSTRIA
49,VIENNA,SCHWECHAT,AUSTRIA
50,BAKU,BINA,AZERBAIJAN
51,LAJES,LAJES,AZORES
52,PONTA DELGARDO,PONTA DELGARDO,AZORES
53,SANTA MARIA,SANTA MARIA,AZORES
54,FREEPORT,FREEPORT,BAHAMAS
55,NASSAU,NASSAU INTL,BAHAMAS
56,BAHRAIN,BAHRAIN INTL,BAHRAIN
57,CHITTAGONG,CHITTAGONG,BANGLADESH
58,DHAKA TEZGAON,TEZGAON,BANGLADESH
59,DHAKA INTL,ZIA INTL.,BANGLADESH
60,BARBADOS,GRANTLY ADAMS INTL,BARBADOS
61,MINSK,MINSK-2,BELARUS
62,ANTWERP,DEURNE,BELGIUM
63,BRUSSELS,BRUSSELS NATIONAL,BELGIUM
64,CHARLEROI,BRUSSELS SOUTH,BELGIUM
65,LIEGE,BIERSET,BELGIUM
66,OSTEND,OSTEND,BELGIUM
67,BELIZE,PHILLIP S.W. GOLDSON INTL,BELIZE
68,COTONOU,CADJEHOUN,BENIN
69,BERMUDA,BERMUDA,BERMUDA
70,FRANCISTOWN,FRANCISTOWN,BOTSWANA
71,GABORONE NOTWANE,NOTWANE,BOTSWANA
72,GABORONE INTL,SERETSE KHAMA INTL.,BOTSWANA
73,GHANZI,GHANZI,BOTSWANA
74,SELEBI-PHIKWE,SELEBI-PHIKWE,BOTSWANA
75,BELO HORIZONTE,TRANCREDO NEVES,BRAZIL
76,BRASILIA,BRASILIA,BRAZIL
77,CAMPINAS,VIRACOPOS,BRAZIL
78,FERNANDO DE NOROHNA,FERNANDO DE NOROHNA,BRAZIL
79,FLORIANPOLIS,HERCILIO LUZ,BRAZIL
80,MACEIO,PALMARES,BRAZIL
81,NATAL,AUGUSTO SEVERO,BRAZIL
82,PORTO ALEGRE,SALGADO FILHO,BRAZIL
83,RECIFE,GUARARAPES,BRAZIL
84,RIO DE JANEIRO,GALEAO INTL,BRAZIL
85,SALVADOR,DOIS DE JULHO,BRAZIL
86,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,BRAZIL
87,SAO PAULO,GUARULHAS,BRAZIL
88,BURGAS,BURGAS,BULGARIA
89,SOFIA,SOFIA,BULGARIA
90,VARNA,VARNA,BULGARIA
91,BOBO-DIOULASSO,BOBO-DIOULASSO,BURKINA
92,OUAGADOUGOU,OUAGADOUGOU,BURKINA
93,BUJUMBURA,BUJUMBURA,BURUNDI
94,PHNOM-PENH,POCHENTONG,CAMBODIA
95,DOUALA,DOUALA,CAMEROON
96,GAROUA,GAROUA,CAMEROON
97,YAOUNDE,NSIMALEN,CAMEROON
98,ABBOTSFORD,ABBOTSFORD,CANADA
99,BAGOTVILLE,BAGOTVILLE,CANADA
100,CALGARY,CALGARY INTL,CANADA
101,CHURCHILL,CHURCHILL,CANADA
102,EDMONTON,EDMONTON INTL,CANADA
103,FREDERICTON,FREDERICTON,CANADA
104,GANDER,GANDER,CANADA
105,GOOSE,GOOSE,CANADA
106,HALIFAX,HALIFAX INTL,CANADA
107,HALIFAX,SHEARWATER,CANADA
108,HAMILTON,HAMILTON,CANADA
109,IQUALUIT,IQUALUIT,CANADA
110,KUUJJUAG,KUUJJUAG,CANADA
111,MONCTON,MONCTON,CANADA
112,MONT JOLI,MONT JOLI,CANADA
113,MONTREAL DORVAL,DORVAL,CANADA
114,MONTREAL MIRABEL,MIRABEL,CANADA
115,NORTH BAY,NORTH BAY,CANADA
116,OTTAWA,OTTAWA,CANADA
117,QUEBEC,QUEBEC,CANADA
118,REGINA,REGINA,CANADA
119,SASSKATOON,SASSKATOON,CANADA
120,SEPT ILES,SEPT ILES,CANADA
121,ST. JOHNS,ST. JOHNS,CANADA
122,STEPHENVILLE,STEPHENVILLE,CANADA
123,SYDNEY,SYDNEY,CANADA
124,THOMPSON,THOMPSON,CANADA
125,TORONTO,TORONTO,CANADA
126,URANIUM CITY,URANIUM CITY,CANADA
127,VAL D'OR,VAL D'OR,CANADA
128,VANCOUVER,VANCOUVER,CANADA
129,WHITEHOUSE,WHITEHOUSE,CANADA
130,WINDSOR,WINDSOR,CANADA
131,WINNIPEG,WINNIPEG,CANADA
132,YARMOUTH,YARMOUTH,CANADA
133,YELLOWKNIFE,YELLOWKNIFE,CANADA
134,FUERTEVENTURA,FUERTEVENTURA,CANARY IS.
135,GRAN CANARIA,LAS PALMAS,CANARY IS.
136,LA PALMA,LA PALMA,CANARY IS.
137,LANZAROTE,LANZAROTE,CANARY IS.
138,TENERIFE NORTE,NORTE,CANARY IS.
139,TENERIFE REINA SOFIA,REINA SOFIA,CANARY IS.
140,SAL,AMILCAR CABRAI,CAPE VERDE REPUBLIC
141,GRAND CAYMAN,OWEN ROBERTS,CAYMAN ISLANDS
142,BAMGUI,M'POKO,CENTRAL AFRICAN REPUBLIC
143,CONCEPCION,CARRIEL SUR,CHILE
144,PUNTA ARENAS,PRES. IBANEZ,CHILE
145,SANTIAGO,A M BENITEZ,CHILE
146,BEIJING,CAPITAL,CHINA
147,CHENGDU,SHUANGLIU,CHINA
148,GUANGZHOU/CANTON,BAIYUN,CHINA
149,KUNMING,WUJIABA,CHINA
150,LANZHOU,ZHONGCHUAN,CHINA
151,SHANGHAI,HONGQIAC,CHINA
152,SHENZHEN,HUANGTIAN,CHINA
153,TAIYUAN,WUSU,CHINA
154,TIANJIN,ZHANGGUIZHUANG,CHINA
155,URUMQI,DIWOPU,CHINA
156,XI'AN,XIANYANG,CHINA
157,BARRANQUILLA,CORTISSOZ,COLOMBIA
158,BOGOTA,ELDORADO,COLOMBIA
159,CALI,ALFONSO BONILLA ARAGON,COLOMBIA
160,CARTEGENA,R. NUNEZ,COLOMBIA
161,SAN ANDRES,SAN ANDRES,COLOMBIA
162,DZAOUDZI,PAMANZI,COMORES & MAYOTTE ISLANDS
163,MORONI HAHAIA,HAHAIA,COMORES & MAYOTTE ISLANDS
164,MORONI ICONI,ICONI,COMORES & MAYOTTE ISLANDS
165,BRAZZAVILLE,MAYA MAYA,CONGO
166,POINTE NOIRE,POINTE NOIRE,CONGO
167,DUBROVNIK,DUBROVNIK,CROATIA
168,RIJEKA,KRK,CROATIA
169,SPLIT,SPLIT,CROATIA
170,ZADAR,ZADAR,CROATIA
171,ZAGREB,ZAGREB,CROATIA
172,CAMAGUEY,IGNACIO AGRAMONTE,CUBA
173,CAYO LARGO DEL SUR,CAYO LARGO DEL SUR,CUBA
174,HAVANA,JOSE MARTI INTL,CUBA
175,VARADERO,VARADERO,CUBA
176,LARNACA,LARNACA,CYPRUS
177,PAPHOS,PAPHOS INTL,CYPRUS
178,PRAGUE,RUZYNE,CZECH REPUBLIC
179,AALBORG,AALBORG,DENMARK
180,BILLUND,BILLUND,DENMARK
181,BORNHOLM,RONNE,DENMARK
182,COPENHAGEN KASTRUP,KASTRUP,DENMARK
183,COPENHAGEN ROSKILDE,ROSKILDE,DENMARK
184,ESBJERG,ESBJERG,DENMARK
185,ODENSE,ODENSE,DENMARK
186,TIRSTRUP,TIRSTRUP,DENMARK
187,DJIBOUTI,AMBOULI,DJIBOUTI
188,PUERTO PLATA,PUERTO PLATA,DOMINICAN REPUBLIC
189,PUNTA CANA,PUNTA CANA,DOMINICAN REPUBLIC
